Organism_Name	Species_ID
Aplysina_aerophoba	Aaer
Aphrocallistes_beatrix	Abea
Amphimedon_queenslandica	Aque
Cliona_orientalis	Cori
Dysidea_avara	Dava
Corticium_candelabrum	Ccan
Lycopodina_hypogea	Lhyp
Oscarella_lobularis	Olob
Spongilla_lacustris	Slac
Theonella_swinhoei	Tswi
Bolinopsis_microptera	Bmic
Hormiphora_californensis	Hcal
Trichoplax_adherens	Tadh
Acropora_millepora	Amil
Candelabrum_cocksii	Ccoc
Haliclystus_octoradiatus	Hoct
Hydractinia_symbiolongicarpus	Hsym
Hydra_vulgaris	Hvul
Nematostella_vectensis	Nvec
Ricordea_florida	Rflo
Ascaris_suum	Asuu
Brugia_malayi	Bmal
Caenorhabditis_elegans	Cele
Nippostrongylus_brasiliensis	Nbra
Oscheius_tipulae	Otip
Steinernema_carpocapsae	Scar
Strongyloides_ratti	Srat
Trichinella_spiralis	Tspi
Apis_mellifera	Amel
Acyrthosiphon_pisum	Apis
Amyelois_transitella	Atra
Aethina_tumida	Atum
Bacillus_rossius	Bros
Chrysoperla_carnea	Ccar
Drosophila_melanogaster	Dmel
Ecdyonurus_torrentis	Etor
Frankliniella_intonsa	Fint
Ischnura_elegans	Iele
Liposcelis_brunnea	Lbru
Limnephilus_lunatus	Llun
Lebia_minor	Lmin
Neoneuromus_ignobilis	Nign
Nemurella_pictetii	Npic
Panorpa_germanica	Pger
Schistocerca_nitens	Snit
Xanthostigma_xanthostigma	Xxan
Daphnia_pulex	Dpul
Morinoia_aosen	Maos
Penaeus_monodon	Pmon
Argiope_bruennichi	Abru
Cordylochernes_scorpioides	Csco
Odiellus_spinosus	Ospi
Tetranychus_truncatus	Ttru
Strigamia_acuminata	Sacu
Schistosoma_mansoni	Sman
Taenia_multiceps	Tmul
Hirudinaria_manillensis	Hman
Lepidonotus_clava	Lcla
Piscicola_geometra	Pgeo
Streblospio_benedicti	Sben
Sthenelais_limicola	Slim
Sipunculus_nudus	Snud
Terebella_lapidaria	Tlap
Urechis_unicinctus	Uuni
Aplysia_californica	Acal
Chrysomallon_squamiferum	Csqu
Doryteuthis_pealeii	Dpea
Fragum_whitleyi	Fwhi
Liolophura_japonica	Ljap
Lucinisca_nassula	Lnas
Octopus_sinensis	Osin
Pinctada_fucata	Pfuc
Panopea_generosa	Pgen
Phorcus_lineatus	Plin
Pictodentalium_vernedei	Pver
Patella_vulgata	Pvul
Sinohyriopsis_cumingii	Scum
Siphonodentalium_dalli	Sdal
Thysanoteuthis_rhombus	Trho
Saccoglossus_kowalevskii	Skow
_Ptychodera_flava	Pfla
Antedon_bifida	Abif
Asterias_rubens	Arub
Holothuria_scabra	Hsca
Ophiura_sarsii	Osar
Strongylocentrus_purpuratus	Spur
Asymmetron_lucayanum	Aluc
Branchiostoma_floridae	Bflo
Ascidiella_aspersa	Aasp
Ciona_intestinalis	Cint
Clavelina_lepadiformis	Clep
Aplidium_turbinatum	Atur
Corella_eumyota	Ceum
Styela_plicata	Spli
Trididemnum_clinides	Tcli
Lethenteron_reissneri	Lrei
Petromyzon_marinus	Pmar
Eptatretus_atami	Eata
Myxine_glutinosa	Mglu
Charcharodon_charcharias	Ccha
Hydrolagus_colliei	Hcol
Hemiscyllium_ocellatum	Hoce
Heptranchias_perlo	Hper
Mobula_hypostoma	Mhyp
Pristis_pectinaria	Ppec
Squalus_acanthias	Saca
Anguilla_anguilla	Aang
Acipenser_ruthenus	Arut
Brienomyrus_brachyistius	Bbra
Carassius_gibelio	Cgib
Danio_rerio	Drer
Latimeria_chalumnae	Lcha
Mugil_cephalus	Mcep
Neoceratodus_forsteri	Nfor
Ambystoma_mexicanum	Amex
Bufo_bufo	Bbuf
Geotrypetes_seraphini	Gser
Microcaecilia_unicolor	Muni
Pelobates_fuscus	Pfus
Pleurodeles_waltl	Pwal
Spea_bombifrons	Sbom
Xenopus_tropicalis	Xtro
Anolis_carolinensis	Acar
Alligator_mississipiensis	Amis
Candoia_aspera	Casp
Chelonia_mydas	Cmyd
Crocodylus_porosus	Cpor
Eublepharis_macularius	Emac
Elgaria_multicarinata	Emul
Gopherus_evgoodei	Gevg
Podarcis_muralis	Pmur
Tiliqua_scincoides	Tsci
Aquila_chrysaetos	Achr
Grus_americana	Game
Gallus_gallus	Ggal
Anas_platyrhynchos	Apla
Taeniopygia_guttata	Tgut
Rhea_pennata	Rpen
Tachyglossus_aculeatus	Tacu
Ornithorhynchus_anatinus	Oana
Antechinus_flavipes	Afla
Sarcophilus_harrisii	Shar
Tapirus_indicus	Tind
Homo_sapiens	Hsap
Mus_musculus	Mmus
Sus_scrofa	Sscr
Tupaia_chinensis	Tchi
Equus_caballus	Ecab
Canis_lupus	Clup
Callithrix_jacchus	Cjac
Choloepus_didactylus	Cdid
Panthera_tigris	Ptig
Lemur_catta	Lcat
Diceros_bicornis	Dbic
Nycticebus_coucang	Ncou
Cynocephalus_volans	Cvol
Eptesicus_fuscus	Efus
Sorex_araneus	Sara
Eubalena_glacialis	Egla
Pongo_pygmaeus	Ppyg
Macaca_fascicularis	Mfas
Cervus_elaphus	Cela
Orcinus_orca	Oorc
