File		N.hits		Unique
Clep		352		253
Tind		1206		810
Rflo		504		238
Osar		306		293
Rven		97		95
Hman		367		285
Scum		198		161
Sdal		113		108
Pfuc		353		339
Pgen		187		169
Xxan		253		231
Ggal		1540		844
Ppec		795		792
Tmul		187		123
Amil		276		250
Hcol		1047		825
Clup		1189		804
Lcla		308		276
Efus		1009		817
Pmar		1323		890
Ttru		251		236
Bflo		360		301
Hsca		108		97
Atra		326		201
Maos		266		182
Llun		247		160
Etor		240		224
Aang		1222		897
Pver		212		198
Abru		71		66
Ccar		234		224
Acal		246		236
Oorc		1163		793
Pmon		196		190
Lmin		139		137
Dpea		178		114
Rpen		1749		845
Nign		187		109
Acar		800		758
Mhyp		727		722
Hoce		707		704
Achr		1841		859
Apis		108		78
Olob		674		190
Drer		1627		1416
Pgeo		295		258
Rtyp		788		767
Ljap		306		203
Hcal		205		118
Tadh		46		39
Slac		156		120
Afla		944		776
Cgib		1608		1092
Cmyd		840		827
Ptig		1179		807
Arut		1278		1050
Gevg		841		830
Ccha		756		682
Oana		1132		844
Csqu		173		168
Plin		307		284
Sacu		361		278
Gser		822		705
Amel		186		140
Dmel		742		274
Snud		192		186
Casp		951		812
Sben		248		224
Arub		254		239
Bros		202		168
Nbra		336		153
Lhyp		342		194
Ccoc		339		175
Hoct		241		216
Dbic		1206		819
Hsym		401		228
Cori		599		309
Otip		358		140
Aaer		631		208
Iele		356		220
Ppyg		1136		783
Bmic		89		66
Lbru		276		243
Dcan		414		245
Ecab		1171		808
Tlap		488		242
Aque		345		178
Tswi		526		220
Fint		401		265
Slim		406		226
Abea		506		170
Osin		319		242
Mmus		1245		806
Fwhi		185		174
Tspi		54		48
Mcep		1412		889
Cdid		1105		829
Pvul		173		168
Dava		295		289
Spur		580		573
Csco		322		280
Bbra		1340		915
Trho		147		145
Lrei		1268		854
Cele		508		240
Srat		1279		306
Uuni		342		190
Abif		262		237
Asuu		118		107
Shar		933		766
Tacu		1125		832
Lnas		233		217
Npic		531		296
Skow		273		225
Dpul		204		120
Ospi		249		225
Pwal		31		31
Soff		95		55
Pger		222		214
Pfus		820		764
Atum		268		232
Sbom		1001		819
Bmal		188		160
Cint		221		204
Pmur		972		817
Sman		75		63
Xtro		783		780
Hsap		1168		799
Cela		1072		831
Lcat		1214		820
Snit		38		34
Hvul		35		32
Sscr		1184		890
Scar		640		160
Amex		414		414
Amis		878		826
Egla		1233		794
Game		1862		852
Emul		916		818
Tcli		494		224
Nvec		323		297
